x y
1009 42
1013 36
1019 30
1021 72
1031 36
1033 36
1039 48
1049 48
1051 60
1061 60
1063 48
1069 36
1087 36
1091 72
1093 72
1097 36
1103 36
1109 48
1117 36
1123 84
1129 36
1151 102
1153 48
1163 48
1171 48
1181 60
1187 36
1193 48
1201 60
1213 48
1217 48
1223 72
1229 42
1231 72
1237 48
1249 54
1259 48
1277 64
1279 48
1283 88
1289 96
1291 32
1297 32
1301 80
1303 64
1307 64
1319 80
1321 32
1327 32
1361 64
1367 80
1373 128
1381 24
1399 48
1409 96
1423 40
1427 104
1429 48
1433 96
1439 128
1447 48
1451 72
1453 80
1459 48
1471 32
1481 80
1483 80
1487 88
1489 32
1493 104
1499 128
1511 96
1523 168
1531 48
1543 48
1549 64
1553 160
1559 80
1567 56
1571 104
1579 64
1583 176
1597 64
1601 80
1607 80
1609 64
1613 128
1619 96
1621 56
1627 48
1637 120
1657 168
1663 96
1667 54
1669 156
1693 96
1697 48
1699 132
1709 60
1721 48
1723 120
1733 60
1741 144
1747 198
1753 96
1759 84
1777 126
1783 144
1787 48
1789 132
1801 96
1811 96
1823 84
1831 156
1847 48
1861 96
1867 138
1871 48
1873 162
1877 66
1879 144
1889 60
1901 84
1907 72
1913 54
1931 48
1933 156
1949 60
1951 120
1973 60
1979 84
1987 108
1993 186
1997 48
1999 192
2003 48
2011 80
2017 144
2027 120
2029 96
2039 80
2053 64
2063 64
2069 72
2081 144
2083 88
2087 120
2089 64
2099 104
2111 96
2113 80
2129 80
2131 96
2137 160
2141 80
2143 72
2153 80
2161 128
2179 112
2203 96
2207 160
2213 88
2221 96
2237 136
2239 112
2243 80
2251 112
2267 104
2269 80
2273 64
2281 160
2287 96
2293 64
2297 112
2309 96
2311 80
2333 128
2339 64
2341 96
2347 144
2351 144
2357 144
2371 72
2377 84
2381 120
2383 60
2389 108
2393 108
2399 270
2411 120
2417 144
2423 156
2437 84
2441 144
2447 180
2459 276
2467 108
2473 96
2477 192
2503 72
2521 108
2531 168
2539 120
2543 192
2549 168
2551 78
2557 60
2579 228
2591 144
2593 72
2609 258
2617 72
2621 114
2633 180
2647 84
2657 216
2659 120
2663 204
2671 96
2677 96
2683 60
2687 168
2689 108
2693 126
2699 204
